id,Z,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
1,-4.149 ,50.140 ,-18.320 ,5.878 ,-0.773 ,-0.623 ,0.621 ,-0.332 ,0.121 ,-0.038 ,0.020 ,-0.023 ,0.027 ,0.028 
2,-8.297 ,75.632 ,-21.773 ,6.625 ,-0.216 ,-1.029 ,0.704 ,-0.295 ,0.060 ,-0.030 ,0.024 ,-0.028 ,0.022 ,-0.017 
3,-12.446 ,91.812 ,-21.169 ,6.241 ,0.598 ,-1.236 ,0.605 ,-0.178 ,-0.008 ,-0.036 ,0.021 ,-0.021 ,0.005 ,-0.003 
4,-16.594 ,104.678 ,-20.469 ,5.932 ,1.249 ,-1.258 ,0.458 ,-0.061 ,-0.030 ,-0.065 ,0.021 ,-0.018 ,-0.015 ,0.008 
5,-20.743 ,115.334 ,-19.758 ,5.571 ,1.711 ,-1.173 ,0.313 ,0.038 ,0.000 ,-0.087 ,0.013 ,-0.012 ,-0.035 ,0.011 
6,-24.891 ,124.439 ,-19.073 ,5.219 ,1.995 ,-1.037 ,0.177 ,0.094 ,0.054 ,-0.087 ,0.007 ,-0.002 ,-0.045 ,0.015 
7,-29.040 ,132.271 ,-18.378 ,4.909 ,2.118 ,-0.876 ,0.062 ,0.091 ,0.101 ,-0.077 ,0.010 ,0.008 ,-0.043 ,0.020 
8,-33.188 ,139.053 ,-17.706 ,4.678 ,2.096 ,-0.707 ,-0.014 ,0.045 ,0.115 ,-0.067 ,0.020 ,0.010 ,-0.034 ,0.029 
9,-37.337 ,144.916 ,-17.048 ,4.547 ,1.945 ,-0.546 ,-0.050 ,-0.011 ,0.100 ,-0.073 ,0.042 ,0.012 ,-0.027 ,0.040 
10,-41.485 ,149.970 ,-16.396 ,4.517 ,1.706 ,-0.404 ,-0.059 ,-0.059 ,0.067 ,-0.091 ,0.064 ,0.013 ,-0.022 ,0.045 
11,-45.634 ,154.365 ,-15.770 ,4.583 ,1.425 ,-0.277 ,-0.056 ,-0.092 ,0.024 ,-0.123 ,0.081 ,0.010 ,-0.018 ,0.042 
12,-49.782 ,158.154 ,-15.163 ,4.734 ,1.136 ,-0.164 ,-0.050 ,-0.110 ,-0.020 ,-0.165 ,0.086 ,0.005 ,-0.013 ,0.033 
13,-53.931 ,161.417 ,-14.593 ,4.946 ,0.858 ,-0.062 ,-0.047 ,-0.117 ,-0.055 ,-0.208 ,0.080 ,-0.007 ,-0.010 ,0.021 
14,-58.080 ,164.200 ,-14.088 ,5.192 ,0.594 ,0.021 ,-0.052 ,-0.116 ,-0.069 ,-0.244 ,0.067 ,-0.020 ,-0.008 ,0.006 
15,-62.228 ,166.531 ,-13.651 ,5.444 ,0.351 ,0.081 ,-0.075 ,-0.111 ,-0.058 ,-0.268 ,0.052 ,-0.032 ,-0.008 ,-0.010 
16,-66.377 ,168.430 ,-13.307 ,5.683 ,0.133 ,0.115 ,-0.117 ,-0.103 ,-0.024 ,-0.274 ,0.042 ,-0.035 ,-0.009 ,-0.025 
17,-70.525 ,169.930 ,-13.057 ,5.903 ,-0.058 ,0.123 ,-0.179 ,-0.096 ,0.017 ,-0.266 ,0.041 ,-0.025 ,-0.007 ,-0.038 
18,-74.674 ,171.094 ,-12.840 ,6.123 ,-0.201 ,0.113 ,-0.247 ,-0.096 ,0.042 ,-0.260 ,0.037 ,-0.008 ,-0.007 ,-0.046 
19,-78.822 ,171.971 ,-12.635 ,6.377 ,-0.280 ,0.100 ,-0.308 ,-0.105 ,0.038 ,-0.266 ,0.021 ,-0.002 ,-0.015 ,-0.056 
20,-82.971 ,172.636 ,-12.372 ,6.680 ,-0.298 ,0.084 ,-0.351 ,-0.126 ,0.002 ,-0.279 ,-0.005 ,-0.010 ,-0.031 ,-0.067 
21,-87.119 ,173.120 ,-12.055 ,7.005 ,-0.296 ,0.050 ,-0.387 ,-0.158 ,-0.054 ,-0.283 ,-0.029 ,-0.016 ,-0.038 ,-0.074 
22,-91.268 ,173.439 ,-11.710 ,7.299 ,-0.330 ,-0.031 ,-0.436 ,-0.204 ,-0.117 ,-0.268 ,-0.033 ,0.000 ,-0.016 ,-0.073 
23,-95.416 ,173.571 ,-11.357 ,7.494 ,-0.467 ,-0.194 ,-0.519 ,-0.274 ,-0.176 ,-0.217 ,0.002 ,0.051 ,0.042 ,-0.062 
24,-99.491 ,173.281 ,-11.281 ,7.469 ,-0.730 ,-0.408 ,-0.587 ,-0.296 ,-0.196 ,-0.134 ,0.067 ,0.119 ,0.095 ,-0.060 
25,-103.566 ,172.724 ,-11.292 ,7.311 ,-1.052 ,-0.630 ,-0.636 ,-0.304 ,-0.204 ,-0.056 ,0.149 ,0.196 ,0.164 ,-0.043 
26,-107.641 ,171.835 ,-11.458 ,6.976 ,-1.467 ,-0.870 ,-0.671 ,-0.309 ,-0.226 ,-0.001 ,0.247 ,0.289 ,0.265 ,0.023 
27,-111.715 ,170.610 ,-11.796 ,6.467 ,-1.969 ,-1.114 ,-0.704 ,-0.338 ,-0.296 ,-0.002 ,0.333 ,0.391 ,0.393 ,0.138 
28,-115.790 ,169.093 ,-12.285 ,5.834 ,-2.484 ,-1.291 ,-0.689 ,-0.353 ,-0.399 ,-0.053 ,0.382 ,0.469 ,0.529 ,0.297 
29,-119.865 ,167.500 ,-12.764 ,5.209 ,-2.911 ,-1.310 ,-0.586 ,-0.291 ,-0.460 ,-0.111 ,0.382 ,0.506 ,0.646 ,0.461 
