id,z,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
1,-4.377,52.473,-17.974,4.96,0.046,-0.947,0.669,-0.303,0.101,-0.043,0.025,-0.034,0.026,-0.006
2,-8.755,76.357,-20.54,5.022,0.801,-1.246,0.607,-0.206,0.05,-0.039,0.026,-0.012,0.001,-0.002
3,-13.132,91.861,-19.926,4.461,1.525,-1.275,0.399,-0.076,-0.001,-0.042,0,0.001,-0.012,0.008
4,-17.509,104.391,-19.087,4.044,2.056,-1.139,0.196,-0.007,0,-0.059,-0.02,0.018,-0.03,0.02
5,-21.886,114.854,-18.203,3.682,2.374,-0.947,0.052,0.027,0.043,-0.063,-0.031,0.021,-0.045,0.018
6,-26.264,123.759,-17.377,3.405,2.519,-0.754,-0.049,0.039,0.101,-0.06,-0.036,0.019,-0.044,0.009
7,-30.641,131.41,-16.581,3.221,2.524,-0.579,-0.109,0.02,0.138,-0.044,-0.028,0.014,-0.041,0.008
8,-35.018,138.024,-15.818,3.137,2.414,-0.419,-0.147,-0.025,0.146,-0.035,-0.007,0.02,-0.036,0.017
9,-39.395,143.795,-15.084,3.131,2.196,-0.273,-0.156,-0.075,0.132,-0.044,0.024,0.017,-0.032,0.028
10,-43.773,149.346,-14.381,3.181,1.944,-0.165,-0.171,-0.088,0.104,-0.082,0.053,0.011,-0.032,0.036
11,-48.15,153.726,-13.707,3.321,1.622,-0.065,-0.166,-0.106,0.077,-0.128,0.074,0,-0.022,0.031
12,-52.527,157.433,-13.094,3.525,1.308,0.027,-0.154,-0.111,0.052,-0.178,0.087,-0.009,-0.013,0.021
13,-56.904,160.601,-12.512,3.787,1.014,0.101,-0.15,-0.109,0.033,-0.229,0.086,-0.02,-0.006,0.007
14,-61.282,163.286,-11.989,4.087,0.757,0.157,-0.157,-0.106,0.024,-0.274,0.075,-0.033,-0.002,-0.006
15,-65.659,165.51,-11.534,4.391,0.542,0.187,0.181,-0.104,0.028,-0.305,0.057,0.043,-0.005,-0.017
16,-70.036,167.28,-11.172,4.68,0.365,0.193,-0.213,-0.103,0.046,-0.314,0.043,-0.046,-0.01,-0.03
17,-74.414,168.631,-10.911,4.94,0.221,0.172,-0.255,-0.106,0.074,-0.306,0.039,-0.035,-0.01,-0.041
